BA,OA,District,Village/Site,Village Code,Site ID,AT-3 Date,LOT 
Ranchi,DTJ,PALAMU,Jiro,366322,UVJHDTJ00212,19.3.24,LOT-3
Ranchi,DTJ,PALAMU,Bihra,366314,UVJHDTJ00261,16.3.24,LOT-3
Ranchi,DTJ,PALAMU,Hutai,366241,UVJHDTJ00452,14.3.24,LOT-3
Ranchi,RCH,Gumla,Sukurda,375923,UVJHRCH00423,1.4.24,LOT-3
Jamshedpur,JSR,PASHCHIMI SINGHBHUM,Kulaiburu,377758,UVJHJSR00116,10.5.24,LOT-3
Ranchi,DTJ,PALAMU,Sitachuan,365224,UVJHDTJ00422,20.3.24,LOT-3
Ranchi,DTJ,LATEHAR,Ladi,366999,UVJHDTJ00295,19.3.24,LOT-3
Ranchi,RCH,Gumla,Lunga,376289,UVJHRCH00055,30.3.24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Daldali,363436,UVJHJSR00157,13.5.24,LOT-3
Ranchi,RCH,Gumla,kodang,VCDM01733,UVJHRCH00178,30.3.24,LOT-3
Dhanbad,DNB,BOKARO,Purnapani,362324,UVJHDNB00044,7.5.24,LOT-3
Dhanbad,DNB,BOKARO,Mukhchuma,362319,UVJHDNB00038,23.4.24,LOT-3
Ranchi,DTJ,LATEHAR,Dauna,367021,UVJHDTJ00308,8.5.24,LOT-3
Ranchi,DTJ,LATEHAR,Salaiya,367488,UVJHDTJ00347,8.5.24,LOT-3
Ranchi,DTJ,LATEHAR,Mangra,367179,UVJHDTJ00303,8.5.24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Nishchintpur,364061,UVJHJSR00572,20.3.24,LOT-3
Ranchi,HZB,CHATRA,Chapka,348402,UVJHHZB00131,19.4.24,LOT-3
Jamshedpur,JSR,PURBI SINGHBHUM,Gamarkocha,363814,UVJHJSR00475,29.3.24,LOT-3
Dhanbad,DNB,BOKARO,Morha,362330,UVJHDNB00043,7.5.24,LOT-3
Dhanbad,DNB,BOKARO,Chotki Murpa,362320,UVJHDNB00047,23.4.24,LOT-3
Ranchi,DTJ,GARHWA,Totki,347983,UVJHDTJ00358,28.3.24,LOT-3
Ranchi,DTJ,GARHWA,Semarkhand,VCDM01821,UVJHDTJ00318,28.3.24,LOT-3
